exact critical path: 
 
(time in ns) 
 
Node:			Time:
I_Pin	|IPIN(7,10).3	|(7,10).3	|500	|49400
CLB(comb)	|[351]	|(7,10)	|900	|50300
O_Pin	|OPIN(7,10)	|(7,10).1	|0	|50300
CHAN_X	|	|(7,9).6	|500	|50800
CHAN_Y	|	|(6,10).6	|500	|51300
I_Pin	|IPIN(6,10).3	|(6,10).3	|500	|51800
CLB(comb)	|n_2354	|(6,10)	|900	|52700
O_Pin	|OPIN(6,10)	|(6,10).1	|0	|52700
CHAN_X	|	|(6,9).6	|500	|53200
CHAN_X	|	|(5,9).6	|500	|53700
I_Pin	|IPIN(5,10).0	|(5,10).0	|500	|54200
CLB(comb)	|[411]	|(5,10)	|900	|55100
O_Pin	|OPIN(5,10)	|(5,10).1	|0	|55100
CHAN_X	|	|(5,9).5	|500	|55600
CHAN_X	|	|(4,9).5	|500	|56100
I_Pin	|IPIN(4,10).0	|(4,10).0	|500	|56600
CLB(comb)	|n_2360	|(4,10)	|900	|57500
O_Pin	|OPIN(4,10)	|(4,10).1	|0	|57500
CHAN_Y	|	|(4,10).6	|500	|58000
CHAN_Y	|	|(4,11).6	|500	|58500
CHAN_Y	|	|(4,12).6	|500	|59000
I_Pin	|IPIN(4,12).3	|(4,12).3	|500	|59500
CLB(comb)	|[328]	|(4,12)	|900	|60400
O_Pin	|OPIN(4,12)	|(4,12).1	|0	|60400
CHAN_Y	|	|(4,12).4	|500	|60900
CHAN_Y	|	|(4,13).4	|500	|61400
I_Pin	|IPIN(4,13).3	|(4,13).3	|500	|61900
CLB(comb)	|n_2366	|(4,13)	|900	|62800
O_Pin	|OPIN(4,13)	|(4,13).1	|0	|62800
CHAN_Y	|	|(4,13).6	|500	|63300
I_Pin	|IPIN(5,13).1	|(5,13).1	|500	|63800
CLB(comb)	|[306]	|(5,13)	|900	|64700
O_Pin	|OPIN(5,13)	|(5,13).1	|0	|64700
CHAN_Y	|	|(5,13).6	|500	|65200
I_Pin	|IPIN(6,13).1	|(6,13).1	|500	|65700
CLB(comb)	|n_2372	|(6,13)	|900	|66600
O_Pin	|OPIN(6,13)	|(6,13).1	|0	|66600
CHAN_Y	|	|(6,13).3	|500	|67100
I_Pin	|IPIN(7,13).1	|(7,13).1	|500	|67600
CLB(comb)	|[420]	|(7,13)	|900	|68500
O_Pin	|OPIN(7,13)	|(7,13).1	|0	|68500
CHAN_Y	|	|(7,13).6	|500	|69000
I_Pin	|IPIN(8,13).1	|(8,13).1	|500	|69500
CLB(comb)	|n_2378	|(8,13)	|900	|70400
O_Pin	|OPIN(8,13)	|(8,13).1	|0	|70400
CHAN_Y	|	|(8,13).5	|500	|70900
I_Pin	|IPIN(9,13).1	|(9,13).1	|500	|71400
CLB(comb)	|[310]	|(9,13)	|900	|72300
O_Pin	|OPIN(9,13)	|(9,13).1	|0	|72300
CHAN_Y	|	|(9,13).5	|500	|72800
CHAN_X	|	|(10,12).5	|500	|73300
CHAN_X	|	|(11,12).5	|500	|73800
CHAN_X	|	|(12,12).5	|500	|74300
I_Pin	|IPIN(12,12).2	|(12,12).2	|500	|74800
CLB(comb)	|n_2384	|(12,12)	|900	|75700
O_Pin	|OPIN(12,12)	|(12,12).1	|0	|75700
CHAN_Y	|	|(12,12).5	|500	|76200
CHAN_Y	|	|(12,13).5	|500	|76700
CHAN_Y	|	|(12,14).5	|500	|77200
CHAN_Y	|	|(12,15).5	|500	|77700
CHAN_Y	|	|(12,16).5	|500	|78200
CHAN_Y	|	|(12,17).5	|500	|78700
CHAN_X	|	|(13,17).5	|500	|79200
I_Pin	|IPIN(13,18).0	|(13,18).0	|500	|79700
CLB(comb)	|n_1127	|(13,18)	|900	|80600
O_Pin	|OPIN(13,18)	|(13,18).1	|0	|80600
CHAN_Y	|	|(13,18).2	|500	|81100
CHAN_Y	|	|(13,19).2	|500	|81600
CHAN_Y	|	|(13,20).2	|500	|82100
CHAN_X	|	|(13,20).2	|500	|82600
CHAN_X	|	|(12,20).2	|500	|83100
I_Pin	|IPIN(12,21).0	|(12,21).0	|500	|83600
CLB(comb)	|[589]	|(12,21)	|79700	|163300
O_Pin	|OPIN(12,21)	|(12,21).1	|0	|163300
CHAN_X	|	|(12,20).5	|500	|163800
CHAN_X	|	|(11,20).5	|500	|164300
I_Pin	|IPIN(11,21).0	|(11,21).0	|500	|164800
CLB(comb)	|p_153	|(11,21)	|900	|165700
O_Pin	|OPIN(11,21)	|(11,21).1	|0	|165700
CHAN_Y	|	|(11,21).5	|500	|166200
CHAN_Y	|	|(11,22).5	|500	|166700
CHAN_Y	|	|(11,23).5	|500	|167200
CHAN_X	|	|(11,23).5	|500	|167700
I_Pin	|IPIN(11,24).1	|(11,24).1	|500	|168200
Out_Block	|out:p_153	|(11,24).1	|300	|168500
