exact critical path: 
 
(time in ns) 
 
Node:			Time:
I_Pin	|IPIN(8,10).3	|(8,10).3	|500	|50500
CLB(comb)	|n_2348	|(8,10)	|900	|51400
O_Pin	|OPIN(8,10)	|(8,10).1	|0	|51400
CHAN_X	|	|(8,9).0	|500	|51900
CHAN_X	|	|(7,9).0	|500	|52400
I_Pin	|IPIN(7,10).0	|(7,10).0	|500	|52900
CLB(comb)	|[351]	|(7,10)	|900	|53800
O_Pin	|OPIN(7,10)	|(7,10).1	|0	|53800
CHAN_X	|	|(7,9).3	|500	|54300
CHAN_Y	|	|(6,10).3	|500	|54800
CHAN_X	|	|(6,10).3	|500	|55300
I_Pin	|IPIN(6,10).2	|(6,10).2	|500	|55800
CLB(comb)	|n_2354	|(6,10)	|900	|56700
O_Pin	|OPIN(6,10)	|(6,10).1	|0	|56700
CHAN_X	|	|(6,9).0	|500	|57200
CHAN_Y	|	|(5,10).0	|500	|57700
I_Pin	|IPIN(5,10).3	|(5,10).3	|500	|58200
CLB(comb)	|[411]	|(5,10)	|900	|59100
O_Pin	|OPIN(5,10)	|(5,10).1	|0	|59100
CHAN_Y	|	|(5,10).1	|500	|59600
CHAN_Y	|	|(5,9).1	|500	|60100
CHAN_X	|	|(5,8).1	|500	|60600
CHAN_X	|	|(4,8).1	|500	|61100
CHAN_Y	|	|(3,9).1	|500	|61600
CHAN_Y	|	|(3,10).1	|500	|62100
I_Pin	|IPIN(4,10).1	|(4,10).1	|500	|62600
CLB(comb)	|n_2360	|(4,10)	|900	|63500
O_Pin	|OPIN(4,10)	|(4,10).1	|0	|63500
CHAN_Y	|	|(4,10).5	|500	|64000
CHAN_Y	|	|(4,11).5	|500	|64500
CHAN_Y	|	|(4,12).5	|500	|65000
I_Pin	|IPIN(4,12).3	|(4,12).3	|500	|65500
CLB(comb)	|[328]	|(4,12)	|900	|66400
O_Pin	|OPIN(4,12)	|(4,12).1	|0	|66400
CHAN_Y	|	|(4,12).0	|500	|66900
CHAN_X	|	|(4,12).0	|500	|67400
I_Pin	|IPIN(4,13).0	|(4,13).0	|500	|67900
CLB(comb)	|n_2366	|(4,13)	|900	|68800
O_Pin	|OPIN(4,13)	|(4,13).1	|0	|68800
CHAN_Y	|	|(4,13).2	|500	|69300
I_Pin	|IPIN(5,13).1	|(5,13).1	|500	|69800
CLB(comb)	|[306]	|(5,13)	|900	|70700
O_Pin	|OPIN(5,13)	|(5,13).1	|0	|70700
CHAN_Y	|	|(5,13).5	|500	|71200
I_Pin	|IPIN(6,13).1	|(6,13).1	|500	|71700
CLB(comb)	|n_2372	|(6,13)	|900	|72600
O_Pin	|OPIN(6,13)	|(6,13).1	|0	|72600
CHAN_X	|	|(6,12).4	|500	|73100
CHAN_X	|	|(7,12).4	|500	|73600
I_Pin	|IPIN(7,13).0	|(7,13).0	|500	|74100
CLB(comb)	|[420]	|(7,13)	|900	|75000
O_Pin	|OPIN(7,13)	|(7,13).1	|0	|75000
CHAN_Y	|	|(7,13).2	|500	|75500
I_Pin	|IPIN(8,13).1	|(8,13).1	|500	|76000
CLB(comb)	|n_2378	|(8,13)	|900	|76900
O_Pin	|OPIN(8,13)	|(8,13).1	|0	|76900
CHAN_Y	|	|(8,13).3	|500	|77400
CHAN_X	|	|(9,12).3	|500	|77900
I_Pin	|IPIN(9,13).0	|(9,13).0	|500	|78400
CLB(comb)	|[310]	|(9,13)	|900	|79300
O_Pin	|OPIN(9,13)	|(9,13).1	|0	|79300
CHAN_X	|	|(9,12).1	|500	|79800
CHAN_X	|	|(10,12).1	|500	|80300
CHAN_X	|	|(11,12).1	|500	|80800
CHAN_Y	|	|(11,12).1	|500	|81300
I_Pin	|IPIN(12,12).1	|(12,12).1	|500	|81800
CLB(comb)	|n_2384	|(12,12)	|900	|82700
O_Pin	|OPIN(12,12)	|(12,12).1	|0	|82700
CHAN_Y	|	|(12,12).4	|500	|83200
CHAN_Y	|	|(12,11).4	|500	|83700
CHAN_X	|	|(13,10).4	|500	|84200
CHAN_Y	|	|(13,10).4	|500	|84700
I_Pin	|IPIN(14,10).1	|(14,10).1	|500	|85200
CLB(comb)	|[289]	|(14,10)	|900	|86100
O_Pin	|OPIN(14,10)	|(14,10).1	|0	|86100
CHAN_X	|	|(14,9).5	|500	|86600
CHAN_X	|	|(15,9).5	|500	|87100
CHAN_X	|	|(16,9).5	|500	|87600
CHAN_Y	|	|(16,10).5	|500	|88100
CHAN_Y	|	|(16,11).5	|500	|88600
CHAN_Y	|	|(16,12).5	|500	|89100
I_Pin	|IPIN(17,12).1	|(17,12).1	|500	|89600
CLB(comb)	|n_1064	|(17,12)	|900	|90500
O_Pin	|OPIN(17,12)	|(17,12).1	|0	|90500
CHAN_Y	|	|(17,12).5	|500	|91000
CHAN_X	|	|(18,12).5	|500	|91500
I_Pin	|IPIN(18,13).0	|(18,13).0	|500	|92000
CLB(comb)	|n_1065	|(18,13)	|24900	|116900
O_Pin	|OPIN(18,13)	|(18,13).1	|0	|116900
CHAN_Y	|	|(18,13).2	|500	|117400
CHAN_Y	|	|(18,14).2	|500	|117900
CHAN_X	|	|(18,14).2	|500	|118400
I_Pin	|IPIN(18,15).0	|(18,15).0	|500	|118900
CLB(comb)	|n_1068	|(18,15)	|900	|119800
O_Pin	|OPIN(18,15)	|(18,15).1	|0	|119800
CHAN_X	|	|(18,14).3	|500	|120300
CHAN_X	|	|(17,14).3	|500	|120800
I_Pin	|IPIN(17,15).0	|(17,15).0	|500	|121300
CLB(comb)	|n_1071	|(17,15)	|900	|122200
O_Pin	|OPIN(17,15)	|(17,15).1	|0	|122200
CHAN_X	|	|(17,14).5	|500	|122700
CHAN_X	|	|(16,14).5	|500	|123200
I_Pin	|IPIN(16,15).0	|(16,15).0	|500	|123700
CLB(comb)	|n_1074	|(16,15)	|900	|124600
O_Pin	|OPIN(16,15)	|(16,15).1	|0	|124600
CHAN_X	|	|(16,14).0	|500	|125100
CHAN_Y	|	|(15,15).0	|500	|125600
I_Pin	|IPIN(15,15).3	|(15,15).3	|500	|126100
CLB(comb)	|n_1077	|(15,15)	|900	|127000
O_Pin	|OPIN(15,15)	|(15,15).1	|0	|127000
CHAN_Y	|	|(15,15).5	|500	|127500
CHAN_X	|	|(15,15).5	|500	|128000
CHAN_X	|	|(14,15).5	|500	|128500
CHAN_X	|	|(13,15).5	|500	|129000
CHAN_Y	|	|(12,16).5	|500	|129500
CHAN_Y	|	|(12,15).5	|500	|130000
CHAN_Y	|	|(12,14).5	|500	|130500
I_Pin	|IPIN(12,14).3	|(12,14).3	|500	|131000
CLB(comb)	|n_1080	|(12,14)	|900	|131900
O_Pin	|OPIN(12,14)	|(12,14).1	|0	|131900
CHAN_X	|	|(12,13).4	|500	|132400
CHAN_X	|	|(11,13).4	|500	|132900
CHAN_X	|	|(10,13).4	|500	|133400
CHAN_Y	|	|(10,13).4	|500	|133900
CHAN_Y	|	|(10,12).4	|500	|134400
CHAN_Y	|	|(10,11).4	|500	|134900
I_Pin	|IPIN(10,11).3	|(10,11).3	|500	|135400
CLB(comb)	|[653]	|(10,11)	|900	|136300
O_Pin	|OPIN(10,11)	|(10,11).1	|0	|136300
CHAN_X	|	|(10,10).4	|500	|136800
CHAN_Y	|	|(9,10).4	|500	|137300
CHAN_Y	|	|(9,9).4	|500	|137800
CHAN_Y	|	|(9,8).4	|500	|138300
CHAN_Y	|	|(9,7).4	|500	|138800
I_Pin	|IPIN(9,7).3	|(9,7).3	|500	|139300
CLB(comb)	|n_1089	|(9,7)	|900	|140200
O_Pin	|OPIN(9,7)	|(9,7).1	|0	|140200
CHAN_X	|	|(9,6).2	|500	|140700
CHAN_X	|	|(8,6).2	|500	|141200
CHAN_Y	|	|(7,6).2	|500	|141700
CHAN_X	|	|(7,5).2	|500	|142200
CHAN_Y	|	|(6,5).2	|500	|142700
CHAN_X	|	|(6,5).2	|500	|143200
I_Pin	|IPIN(6,6).0	|(6,6).0	|500	|143700
CLB(comb)	|n_1092	|(6,6)	|900	|144600
O_Pin	|OPIN(6,6)	|(6,6).1	|0	|144600
CHAN_X	|	|(6,5).3	|500	|145100
CHAN_X	|	|(5,5).3	|500	|145600
I_Pin	|IPIN(5,6).0	|(5,6).0	|500	|146100
CLB(comb)	|n_1095	|(5,6)	|900	|147000
O_Pin	|OPIN(5,6)	|(5,6).1	|0	|147000
CHAN_X	|	|(5,5).5	|500	|147500
CHAN_X	|	|(4,5).5	|500	|148000
CHAN_Y	|	|(3,6).5	|500	|148500
CHAN_Y	|	|(3,7).5	|500	|149000
CHAN_Y	|	|(3,8).5	|500	|149500
I_Pin	|IPIN(3,8).3	|(3,8).3	|500	|150000
CLB(comb)	|n_1098	|(3,8)	|900	|150900
O_Pin	|OPIN(3,8)	|(3,8).1	|0	|150900
CHAN_Y	|	|(3,8).2	|500	|151400
CHAN_X	|	|(3,8).2	|500	|151900
CHAN_Y	|	|(2,9).2	|500	|152400
CHAN_Y	|	|(2,10).2	|500	|152900
CHAN_Y	|	|(2,11).2	|500	|153400
CHAN_Y	|	|(2,12).2	|500	|153900
CHAN_Y	|	|(2,13).2	|500	|154400
I_Pin	|IPIN(3,13).1	|(3,13).1	|500	|154900
CLB(comb)	|n_1101	|(3,13)	|900	|155800
O_Pin	|OPIN(3,13)	|(3,13).1	|0	|155800
CHAN_X	|	|(3,12).3	|500	|156300
CHAN_Y	|	|(2,13).3	|500	|156800
CHAN_Y	|	|(2,14).3	|500	|157300
CHAN_X	|	|(3,14).3	|500	|157800
CHAN_Y	|	|(3,15).3	|500	|158300
CHAN_Y	|	|(3,16).3	|500	|158800
I_Pin	|IPIN(3,16).3	|(3,16).3	|500	|159300
CLB(comb)	|n_1104	|(3,16)	|900	|160200
O_Pin	|OPIN(3,16)	|(3,16).1	|0	|160200
CHAN_Y	|	|(3,16).1	|500	|160700
CHAN_X	|	|(4,16).1	|500	|161200
CHAN_Y	|	|(3,17).1	|500	|161700
CHAN_Y	|	|(3,18).1	|500	|162200
CHAN_X	|	|(4,18).1	|500	|162700
I_Pin	|IPIN(4,18).2	|(4,18).2	|500	|163200
CLB(comb)	|n_1107	|(4,18)	|900	|164100
O_Pin	|OPIN(4,18)	|(4,18).1	|0	|164100
CHAN_Y	|	|(4,18).5	|500	|164600
CHAN_Y	|	|(4,19).5	|500	|165100
CHAN_X	|	|(5,19).5	|500	|165600
CHAN_Y	|	|(5,20).5	|500	|166100
CHAN_X	|	|(5,20).5	|500	|166600
I_Pin	|IPIN(5,20).2	|(5,20).2	|500	|167100
CLB(comb)	|n_1110	|(5,20)	|900	|168000
O_Pin	|OPIN(5,20)	|(5,20).1	|0	|168000
CHAN_Y	|	|(5,20).1	|500	|168500
CHAN_Y	|	|(5,21).1	|500	|169000
CHAN_Y	|	|(5,22).1	|500	|169500
I_Pin	|IPIN(6,22).1	|(6,22).1	|500	|170000
CLB(comb)	|n_1113	|(6,22)	|900	|170900
O_Pin	|OPIN(6,22)	|(6,22).1	|0	|170900
CHAN_Y	|	|(6,22).3	|500	|171400
I_Pin	|IPIN(7,22).1	|(7,22).1	|500	|171900
CLB(comb)	|[623]	|(7,22)	|900	|172800
O_Pin	|OPIN(7,22)	|(7,22).1	|0	|172800
CHAN_Y	|	|(7,22).4	|500	|173300
CHAN_X	|	|(8,21).4	|500	|173800
CHAN_X	|	|(9,21).4	|500	|174300
CHAN_X	|	|(10,21).4	|500	|174800
CHAN_X	|	|(11,21).4	|500	|175300
I_Pin	|IPIN(11,22).0	|(11,22).0	|500	|175800
CLB(comb)	|n_1122	|(11,22)	|900	|176700
O_Pin	|OPIN(11,22)	|(11,22).1	|0	|176700
CHAN_X	|	|(11,21).3	|500	|177200
CHAN_X	|	|(10,21).3	|500	|177700
CHAN_X	|	|(9,21).3	|500	|178200
CHAN_Y	|	|(8,22).3	|500	|178700
CHAN_Y	|	|(8,23).3	|500	|179200
CHAN_X	|	|(9,23).3	|500	|179700
CHAN_Y	|	|(9,23).3	|500	|180200
CHAN_X	|	|(10,22).3	|500	|180700
CHAN_X	|	|(11,22).3	|500	|181200
CHAN_X	|	|(12,22).3	|500	|181700
I_Pin	|IPIN(12,23).0	|(12,23).0	|500	|182200
CLB(comb)	|[602]	|(12,23)	|900	|183100
O_Pin	|OPIN(12,23)	|(12,23).1	|0	|183100
CHAN_Y	|	|(12,23).5	|500	|183600
I_Pin	|IPIN(13,23).1	|(13,23).1	|500	|184100
CLB(comb)	|p_152	|(13,23)	|2400	|186500
O_Pin	|OPIN(13,23)	|(13,23).1	|0	|186500
CHAN_Y	|	|(13,23).4	|500	|187000
CHAN_X	|	|(13,23).4	|500	|187500
I_Pin	|IPIN(13,24).0	|(13,24).0	|500	|188000
Out_Block	|out:p_152	|(13,24).0	|300	|188300
