exact critical path: 
 
(time in ns) 
 
Node:			Time:
O_Pin	|OPIN(38,9)	|(38,9).1	|0	|268100
CHAN_X	|	|(38,8).8	|500	|268600
CHAN_X	|	|(37,8).8	|500	|269100
CHAN_Y	|	|(36,8).8	|500	|269600
CHAN_Y	|	|(36,7).8	|500	|270100
CHAN_Y	|	|(36,6).8	|500	|270600
I_Pin	|IPIN(37,6).1	|(37,6).1	|500	|271100
CLB(comb)	|[2122]	|(37,6)	|7500	|278600
O_Pin	|OPIN(37,6)	|(37,6).1	|0	|278600
CHAN_Y	|	|(37,6).7	|500	|279100
CHAN_Y	|	|(37,7).7	|500	|279600
CHAN_Y	|	|(37,8).7	|500	|280100
CHAN_Y	|	|(37,9).7	|500	|280600
CHAN_Y	|	|(37,10).7	|500	|281100
CHAN_Y	|	|(37,11).7	|500	|281600
CHAN_Y	|	|(37,12).7	|500	|282100
CHAN_X	|	|(38,12).7	|500	|282600
CHAN_Y	|	|(38,13).7	|500	|283100
CHAN_Y	|	|(38,14).7	|500	|283600
CHAN_Y	|	|(38,15).7	|500	|284100
CHAN_Y	|	|(38,16).7	|500	|284600
CHAN_Y	|	|(38,17).7	|500	|285100
I_Pin	|IPIN(38,17).3	|(38,17).3	|500	|285600
CLB(comb)	|[34973]	|(38,17)	|900	|286500
O_Pin	|OPIN(38,17)	|(38,17).1	|0	|286500
CHAN_Y	|	|(38,17).2	|500	|287000
CHAN_X	|	|(39,17).2	|500	|287500
CHAN_X	|	|(40,17).2	|500	|288000
CHAN_X	|	|(41,17).2	|500	|288500
CHAN_X	|	|(42,17).2	|500	|289000
CHAN_X	|	|(43,17).2	|500	|289500
CHAN_X	|	|(44,17).2	|500	|290000
CHAN_X	|	|(45,17).2	|500	|290500
CHAN_X	|	|(46,17).2	|500	|291000
CHAN_X	|	|(47,17).2	|500	|291500
CHAN_X	|	|(48,17).2	|500	|292000
CHAN_X	|	|(49,17).2	|500	|292500
CHAN_X	|	|(50,17).2	|500	|293000
CHAN_X	|	|(51,17).2	|500	|293500
CHAN_X	|	|(52,17).2	|500	|294000
CHAN_X	|	|(53,17).2	|500	|294500
CHAN_X	|	|(54,17).2	|500	|295000
CHAN_X	|	|(55,17).2	|500	|295500
CHAN_X	|	|(56,17).2	|500	|296000
CHAN_X	|	|(57,17).2	|500	|296500
CHAN_X	|	|(58,17).2	|500	|297000
CHAN_X	|	|(59,17).2	|500	|297500
CHAN_X	|	|(60,17).2	|500	|298000
CHAN_X	|	|(61,17).2	|500	|298500
CHAN_X	|	|(62,17).2	|500	|299000
CHAN_X	|	|(63,17).2	|500	|299500
CHAN_X	|	|(64,17).2	|500	|300000
CHAN_X	|	|(65,17).2	|500	|300500
CHAN_Y	|	|(65,18).2	|500	|301000
CHAN_X	|	|(66,18).2	|500	|301500
CHAN_X	|	|(67,18).2	|500	|302000
I_Pin	|IPIN(67,19).0	|(67,19).0	|500	|302500
CLB(seq)	|ni30	|(67,19)	|800	|303300
